Item,Price,img_route
Garden Veggie Snacks - Sea Salt Veggie Straws,5,../../assets/images/items/Bowow-Builder-Images/Garden Veggie Snacks - Sea Salt Veggie Straws.webp
LesserEvil - Fiery Hot Popcorn,-1,../../assets/images/items/Bowow-Builder-Images/LesserEvil - Fiery Hot Popcorn.webp
LesserEvil - Oh my Gee Popcorn,-1,../../assets/images/items/Bowow-Builder-Images/LesserEvil - Oh my Gee Popcorn.webp
Popcorn Indiana - Sweet & Salty Kettle Corn,5,../../assets/images/items/Bowow-Builder-Images/Popcorn Indiana - Sweet & Salty Kettle Corn.webp
Orville Redenbacher's - Butter Classic Popcorn,1,../../assets/images/items/Bowow-Builder-Images/Orville Redenbacher's - Butter Classic Popcorn.webp
Hippeas - Groovy White Cheddar,-1,../../assets/images/items/Bowow-Builder-Images/Hippeas - Groovy White Cheddar.webp
Stacy’s Pita Chips - Simply Naked,1.8,../../assets/images/items/Bowow-Builder-Images/Stacy’s Pita Chips - Simply Naked.webp
Stacy’s Pita Chips - Parmesan & Garlic,1.8,../../assets/images/items/Bowow-Builder-Images/Stacy’s Pita Chips - Parmesan & Garlic.webp
Stacy’s Pita Chips - Cinnamon Sugar,1.8,../../assets/images/items/Bowow-Builder-Images/Stacy’s Pita Chips - Cinnamon Sugar.webp
Vista Hermosa - Sea Salt,8.5,../../assets/images/items/Bowow-Builder-Images/Vista Hermosa - Sea Salt.webp
Vista Hermosa - Blue Corn,8.5,../../assets/images/items/Bowow-Builder-Images/Vista Hermosa - Blue Corn.webp
Green Mountain Gringo - Hot Salsa,6.55,../../assets/images/items/Bowow-Builder-Images/Green Mountain Gringo - Hot Salsa.webp
Green Mountain Gringo - Mild Salsa,6.55,../../assets/images/items/Bowow-Builder-Images/Green Mountain Gringo - Mild Salsa.webp
Annie's - Cheddar Bunnies - Original,6.25,../../assets/images/items/Bowow-Builder-Images/Annie's - Cheddar Bunnies - Original.webp
Cape Code - Chips - Sea Salt,-1,../../assets/images/items/Bowow-Builder-Images/Cape Code - Chips - Sea Salt.webp
Rold Gold - Prezel - Original,-1,../../assets/images/items/Bowow-Builder-Images/Rold Gold - Prezel - Original.webp
Pirates Booty - Aged White Cheddar,-1,../../assets/images/items/Bowow-Builder-Images/Pirates Booty - Aged White Cheddar.webp
The Good Crisp Company - Outback BBQ -- Large,5,../../assets/images/items/Bowow-Builder-Images/The Good Crisp Company - Outback BBQ -- Large.webp
Mavuno Harvest - Dried Organic Jackfruit,4.2,../../assets/images/items/Bowow-Builder-Images/Mavuno Harvest - Dried Organic Jackfruit.webp
Mavuno Harvest - Dried Organic Coconut,4.2,../../assets/images/items/Bowow-Builder-Images/Mavuno Harvest - Dried Organic Coconut.webp
Mamma Chia - Chia Squeeze - Green Magic,3,../../assets/images/items/Bowow-Builder-Images/Mamma Chia - Chia Squeeze - Green Magic.webp
Mamma Chia - Chia Squeeze - Strawberry Banana,3,../../assets/images/items/Bowow-Builder-Images/Mamma Chia - Chia Squeeze - Strawberry Banana.webp
Mamma Chia - Chia Squeeze - Wild Raspberry,3,../../assets/images/items/Bowow-Builder-Images/Mamma Chia - Chia Squeeze - Wild Raspberry.webp
Mamma Chia - Chia Squeeze - Blackberry Bliss,3,../../assets/images/items/Bowow-Builder-Images/Mamma Chia - Chia Squeeze - Blackberry Bliss.webp
Noka - Superfood Smoothie - Cherry Acai,3.9,../../assets/images/items/Bowow-Builder-Images/Noka - Superfood Smoothie - Cherry Acai.webp
Noka - Superfood Smoothie - Mango Coconut,3.9,../../assets/images/items/Bowow-Builder-Images/Noka - Superfood Smoothie - Mango Coconut.webp
That's It - Fruit Bar - Apple + Blueberry,2.25,../../assets/images/items/Bowow-Builder-Images/That's It - Fruit Bar - Apple + Blueberry.webp
That's It - Fruit Bar - Apple + Mango,2.25,../../assets/images/items/Bowow-Builder-Images/That's It - Fruit Bar - Apple + Mango.webp
Yale - Oranges,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Oranges.webp
Yale - Apple,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Apple.webp
Yale - Banana,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Banana.webp
Oh snap - Hottie Bites - Spicy Pickles,2.50,../../assets/images/items/Bowow-Builder-Images/Oh snap - Hottie Bites - Spicy Pickles.webp
Oh snap - Dilly Bites - Spicy Pickles,2.50,../../assets/images/items/Bowow-Builder-Images/Oh snap - Dilly Bites - Spicy Pickles.webp
Cedar Snack Pack - dark chocolate hommus with pretzels,4.20,../../assets/images/items/Bowow-Builder-Images/Cedar Snack Pack - dark chocolate hommus with pretzels.webp
Cedar Snack Pack - Garlic Hommus and Chips,4.20,../../assets/images/items/Bowow-Builder-Images/Cedar Snack Pack - Garlic Hommus and Chips.webp
Cedar Snack Pack - Original Hommus and Chips,4.20,../../assets/images/items/Bowow-Builder-Images/Cedar Snack Pack - Original Hommus and Chips.webp
Esti - tzatziki and pita chips,5.00,../../assets/images/items/Bowow-Builder-Images/Esti - tzatziki and pita chips.webp
Esti - Baba Ghanoush and pita chips,5.00,../../assets/images/items/Bowow-Builder-Images/Esti - Baba Ghanoush and pita chips.webp
Esti - Eggplant Hummus,5.55,../../assets/images/items/Bowow-Builder-Images/Esti - Eggplant Hummus.webp
Rosell - String Cheese,1.00,../../assets/images/items/Bowow-Builder-Images/Rosell - String Cheese.webp
Cabot - Cheese,1.00,../../assets/images/items/Bowow-Builder-Images/Cabot - Cheese.webp
Organic Valley - String Cheese,1.00,../../assets/images/items/Bowow-Builder-Images/Organic Valley - String Cheese.webp
Fillo's - Walking Tamales - bean salsa habanero,-1,../../assets/images/items/Bowow-Builder-Images/Fillo's - Walking Tamales - bean salsa habanero.webp
Fillo's - Walking Tamales - bean salsa verde,-1,../../assets/images/items/Bowow-Builder-Images/Fillo's - Walking Tamales - bean salsa verde.webp
Amy's - Snacks - Cheese Pizza,7,../../assets/images/items/Bowow-Builder-Images/Amy's - Snacks - Cheese Pizza.webp
Amy's - Mac & Cheese,7,../../assets/images/items/Bowow-Builder-Images/Amy's - Mac & Cheese.webp
Amy's - Bowls - Tortellini,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - Tortellini.webp
Amy's - Bowls - Country Cheddar,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - Country Cheddar.webp
Amy's - Bowls - 3 Chese & Kale Bake,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - 3 Chese & Kale Bake.webp
Amy's - Bowls - Mushroom Risotto,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - Mushroom Risotto.webp
